"","type","eoo_km2"
"Maputaland Coastal Belt_Depression","Maputaland Coastal Belt_Depression",35296.8280175311
"Central Bushveld_Depression","Central Bushveld_Depression",153118.504257883
"Dry Highveld Grassland_Depression","Dry Highveld Grassland_Depression",222295.37275812
"Lowveld_Depression","Lowveld_Depression",503501.634800793
"Mesic Highveld Grassland_Depression","Mesic Highveld Grassland_Depression",215528.32079583
"Bushmanland_Depression","Bushmanland_Depression",149852.387264663
"Karoo Interior_Depression","Karoo Interior_Depression",405700.26043991
"Namaqualand_Depression","Namaqualand_Depression",35047.1433363071
"Eastern Kalahari Bushveld_Depression","Eastern Kalahari Bushveld_Depression",220927.507042465
"Drakensberg Grassland_Depression","Drakensberg Grassland_Depression",87652.7743777129
"Eastern Fynbos-Renosterveld_Depression","Eastern Fynbos-Renosterveld_Depression",16108.1541280424
"Albany Thicket_Depression","Albany Thicket_Depression",338259.869481617
"Sub-escarpment Savanna_Depression","Sub-escarpment Savanna_Depression",118572.821282924
"Sub-Escarpment Grassland_Depression","Sub-Escarpment Grassland_Depression",157367.152334474
"Mopane_Depression","Mopane_Depression",39936.4986743864
"Northwest Fynbos_Depression","Northwest Fynbos_Depression",28828.4577976359
"Kalahari Duneveld_Depression","Kalahari Duneveld_Depression",95960.882598125
"Knersvlakte_Depression","Knersvlakte_Depression",3661.97014982536
"Southern Fynbos_Depression","Southern Fynbos_Depression",26966.1231590802
"West Coast_Depression","West Coast_Depression",2474.31977502177
"East Coast Renosterveld_Depression","East Coast Renosterveld_Depression",5515.56025850975
"Southwest Fynbos_Depression","Southwest Fynbos_Depression",3560.17910454607
"Dry Highveld Grassland_Seep","Dry Highveld Grassland_Seep",268321.779753587
"Dry Highveld Grassland_Floodplain","Dry Highveld Grassland_Floodplain",196743.160176541
"Drakensberg Grassland_Floodplain","Drakensberg Grassland_Floodplain",77851.1761210584
"Drakensberg Grassland_Seep","Drakensberg Grassland_Seep",82462.8627055616
"Dry Highveld Grassland_Unchannelled valley-bottom","Dry Highveld Grassland_Unchannelled valley-bottom",238257.527446115
"Drakensberg Grassland_Unchannelled valley-bottom","Drakensberg Grassland_Unchannelled valley-bottom",56270.5351465627
"Karoo Interior_Floodplain","Karoo Interior_Floodplain",294679.015364618
"Mesic Highveld Grassland_Unchannelled valley-bottom","Mesic Highveld Grassland_Unchannelled valley-bottom",227037.398511254
"Mesic Highveld Grassland_Seep","Mesic Highveld Grassland_Seep",242807.256316579
"Mesic Highveld Grassland_Floodplain","Mesic Highveld Grassland_Floodplain",188195.031628107
"Karoo Interior_Seep","Karoo Interior_Seep",363773.306799403
"Karoo Interior_Unchannelled valley-bottom","Karoo Interior_Unchannelled valley-bottom",233706.030885488
"Central Bushveld_Floodplain","Central Bushveld_Floodplain",165517.085712354
"Central Bushveld_Seep","Central Bushveld_Seep",153740.49428176
"Central Bushveld_Unchannelled valley-bottom","Central Bushveld_Unchannelled valley-bottom",146689.172418652
