type,class,Freq,YEAR
Albany Thicket_Depression,1,45013,1990
Albany Thicket_Depression,2,672,1990
Albany Thicket_Depression,3,624,1990
Albany Thicket_Depression,4,842,1990
Albany Thicket_Depression,5,2905,1990
Albany Thicket_Depression,6,11874,1990
Albany Thicket_Depression,7,63,1990
Albany Thicket_Floodplain,1,47701,1990
Albany Thicket_Floodplain,2,344,1990
Albany Thicket_Floodplain,3,438,1990
Albany Thicket_Floodplain,5,19544,1990
Albany Thicket_Floodplain,7,97,1990
Albany Thicket_Seep,1,2205,1990
Albany Thicket_Seep,2,134,1990
Albany Thicket_Seep,3,47,1990
Albany Thicket_Seep,5,68,1990
Bushmanland_Depression,1,8013451,1990
Bushmanland_Depression,2,48280,1990
Bushmanland_Depression,3,2260,1990
Bushmanland_Depression,4,142,1990
Bushmanland_Depression,5,52494,1990
Bushmanland_Depression,6,18977,1990
Bushmanland_Depression,7,190,1990
Bushmanland_Depression,NA,34,1990
Bushmanland_Floodplain,1,235614,1990
Bushmanland_Floodplain,2,267,1990
Bushmanland_Floodplain,3,157,1990
Bushmanland_Floodplain,5,18,1990
Bushmanland_Floodplain,6,273,1990
Bushmanland_Floodplain,7,62,1990
Bushmanland_Floodplain,NA,3,1990
Bushmanland_Seep,1,41343,1990
Bushmanland_Seep,2,1,1990
Bushmanland_Seep,3,12,1990
Bushmanland_Seep,4,1,1990
Bushmanland_Seep,5,67,1990
Bushmanland_Unchannelled valley-bottom,1,1710587,1990
Bushmanland_Unchannelled valley-bottom,2,49393,1990
Bushmanland_Unchannelled valley-bottom,3,3297,1990
Bushmanland_Unchannelled valley-bottom,5,4674,1990
Bushmanland_Unchannelled valley-bottom,6,132,1990
Central Bushveld_Depression,1,97863,1990
Central Bushveld_Depression,2,4253,1990
Central Bushveld_Depression,3,6406,1990
Central Bushveld_Depression,4,2042,1990
Central Bushveld_Depression,5,4334,1990
Central Bushveld_Depression,6,5006,1990
Central Bushveld_Depression,7,619,1990
Central Bushveld_Floodplain,1,2760967,1990
Central Bushveld_Floodplain,2,293169,1990
Central Bushveld_Floodplain,3,96974,1990
Central Bushveld_Floodplain,4,43039,1990
Central Bushveld_Floodplain,5,590310,1990
Central Bushveld_Floodplain,6,3942,1990
Central Bushveld_Floodplain,7,6591,1990
Central Bushveld_Floodplain,NA,30658,1990
Central Bushveld_Seep,1,314837,1990
Central Bushveld_Seep,2,53724,1990
Central Bushveld_Seep,3,7504,1990
Central Bushveld_Seep,4,20222,1990
Central Bushveld_Seep,5,43068,1990
Central Bushveld_Seep,6,1232,1990
Central Bushveld_Seep,7,4577,1990
Central Bushveld_Unchannelled valley-bottom,1,766679,1990
Central Bushveld_Unchannelled valley-bottom,2,93082,1990
Central Bushveld_Unchannelled valley-bottom,3,20679,1990
Central Bushveld_Unchannelled valley-bottom,4,15921,1990
Central Bushveld_Unchannelled valley-bottom,5,80953,1990
Central Bushveld_Unchannelled valley-bottom,6,2012,1990
Central Bushveld_Unchannelled valley-bottom,7,1185,1990
Drakensberg Grassland_Depression,1,25998,1990
Drakensberg Grassland_Depression,2,564,1990
Drakensberg Grassland_Depression,3,57,1990
Drakensberg Grassland_Depression,4,33,1990
Drakensberg Grassland_Depression,5,593,1990
Drakensberg Grassland_Depression,6,16,1990
Drakensberg Grassland_Depression,7,22,1990
Drakensberg Grassland_Floodplain,1,9181,1990
Drakensberg Grassland_Floodplain,2,752,1990
Drakensberg Grassland_Floodplain,3,640,1990
Drakensberg Grassland_Floodplain,4,101,1990
Drakensberg Grassland_Floodplain,5,527,1990
Drakensberg Grassland_Floodplain,7,11,1990
Drakensberg Grassland_Seep,1,22080,1990
Drakensberg Grassland_Seep,2,420,1990
Drakensberg Grassland_Seep,3,254,1990
Drakensberg Grassland_Seep,4,48,1990
Drakensberg Grassland_Seep,5,2081,1990
Drakensberg Grassland_Unchannelled valley-bottom,1,473,1990
Dry Highveld Grassland_Depression,1,2608026,1990
Dry Highveld Grassland_Depression,2,67395,1990
Dry Highveld Grassland_Depression,3,7133,1990
Dry Highveld Grassland_Depression,4,2279,1990
Dry Highveld Grassland_Depression,5,258258,1990
Dry Highveld Grassland_Depression,6,33096,1990
Dry Highveld Grassland_Depression,7,3460,1990
Dry Highveld Grassland_Floodplain,1,2976550,1990
Dry Highveld Grassland_Floodplain,2,49185,1990
Dry Highveld Grassland_Floodplain,3,118632,1990
Dry Highveld Grassland_Floodplain,4,10815,1990
Dry Highveld Grassland_Floodplain,5,273546,1990
Dry Highveld Grassland_Floodplain,6,2476,1990
Dry Highveld Grassland_Floodplain,7,14177,1990
Dry Highveld Grassland_Seep,1,414010,1990
Dry Highveld Grassland_Seep,2,22204,1990
Dry Highveld Grassland_Seep,3,14300,1990
Dry Highveld Grassland_Seep,4,10863,1990
Dry Highveld Grassland_Seep,5,71290,1990
Dry Highveld Grassland_Seep,6,504,1990
Dry Highveld Grassland_Seep,7,3052,1990
Dry Highveld Grassland_Unchannelled valley-bottom,1,1691617,1990
Dry Highveld Grassland_Unchannelled valley-bottom,2,55224,1990
Dry Highveld Grassland_Unchannelled valley-bottom,3,82645,1990
Dry Highveld Grassland_Unchannelled valley-bottom,4,3778,1990
Dry Highveld Grassland_Unchannelled valley-bottom,5,196099,1990
Dry Highveld Grassland_Unchannelled valley-bottom,6,18697,1990
Dry Highveld Grassland_Unchannelled valley-bottom,7,3779,1990
East Coast Renosterveld_Depression,1,44683,1990
East Coast Renosterveld_Depression,2,124,1990
East Coast Renosterveld_Depression,3,28,1990
East Coast Renosterveld_Depression,5,3036,1990
East Coast Renosterveld_Depression,7,42,1990
East Coast Renosterveld_Floodplain,1,557664,1990
East Coast Renosterveld_Floodplain,2,34448,1990
East Coast Renosterveld_Floodplain,3,11408,1990
East Coast Renosterveld_Floodplain,4,2553,1990
East Coast Renosterveld_Floodplain,5,249902,1990
East Coast Renosterveld_Floodplain,6,139,1990
East Coast Renosterveld_Floodplain,7,18579,1990
East Coast Renosterveld_Seep,1,141837,1990
East Coast Renosterveld_Seep,2,8304,1990
East Coast Renosterveld_Seep,3,2328,1990
East Coast Renosterveld_Seep,4,1289,1990
East Coast Renosterveld_Seep,5,48362,1990
East Coast Renosterveld_Seep,6,1,1990
East Coast Renosterveld_Seep,7,3132,1990
East Coast Renosterveld_Unchannelled valley-bottom,1,23111,1990
East Coast Renosterveld_Unchannelled valley-bottom,2,627,1990
East Coast Renosterveld_Unchannelled valley-bottom,3,81,1990
East Coast Renosterveld_Unchannelled valley-bottom,5,4778,1990
East Coast Renosterveld_Unchannelled valley-bottom,7,84,1990
Eastern Fynbos-Renosterveld_Depression,1,8249,1990
Eastern Fynbos-Renosterveld_Depression,2,99,1990
Eastern Fynbos-Renosterveld_Depression,3,172,1990
Eastern Fynbos-Renosterveld_Depression,4,945,1990
Eastern Fynbos-Renosterveld_Depression,5,1039,1990
Eastern Fynbos-Renosterveld_Depression,6,51,1990
Eastern Fynbos-Renosterveld_Depression,7,87,1990
Eastern Kalahari Bushveld_Depression,1,2484036,1990
Eastern Kalahari Bushveld_Depression,2,23075,1990
Eastern Kalahari Bushveld_Depression,3,7816,1990
Eastern Kalahari Bushveld_Depression,4,1900,1990
Eastern Kalahari Bushveld_Depression,5,42417,1990
Eastern Kalahari Bushveld_Depression,6,40479,1990
Eastern Kalahari Bushveld_Depression,7,448,1990
Eastern Kalahari Bushveld_Seep,1,638524,1990
Eastern Kalahari Bushveld_Seep,2,6210,1990
Eastern Kalahari Bushveld_Seep,3,6193,1990
Eastern Kalahari Bushveld_Seep,4,1560,1990
Eastern Kalahari Bushveld_Seep,5,52756,1990
Eastern Kalahari Bushveld_Seep,6,3523,1990
Eastern Kalahari Bushveld_Seep,7,465,1990
Eastern Kalahari Bushveld_Seep,NA,141,1990
Eastern Kalahari Bushveld_Unchannelled valley-bottom,1,861600,1990
Eastern Kalahari Bushveld_Unchannelled valley-bottom,2,23974,1990
Eastern Kalahari Bushveld_Unchannelled valley-bottom,3,17968,1990
Eastern Kalahari Bushveld_Unchannelled valley-bottom,4,5780,1990
Eastern Kalahari Bushveld_Unchannelled valley-bottom,5,30601,1990
Eastern Kalahari Bushveld_Unchannelled valley-bottom,6,8218,1990
Eastern Kalahari Bushveld_Unchannelled valley-bottom,7,486,1990
Eastern Kalahari Bushveld_Unchannelled valley-bottom,NA,26,1990
Kalahari Duneveld_Depression,1,828361,1990
Kalahari Duneveld_Depression,3,876,1990
Kalahari Duneveld_Depression,4,85,1990
Kalahari Duneveld_Depression,6,14959,1990
Kalahari Duneveld_Depression,NA,3,1990
Karoo Interior_Depression,1,1625888,1990
Karoo Interior_Depression,2,9065,1990
Karoo Interior_Depression,3,2038,1990
Karoo Interior_Depression,4,100,1990
Karoo Interior_Depression,5,11244,1990
Karoo Interior_Depression,6,24222,1990
Karoo Interior_Depression,7,214,1990
Karoo Interior_Floodplain,1,2355293,1990
Karoo Interior_Floodplain,2,33761,1990
Karoo Interior_Floodplain,3,24863,1990
Karoo Interior_Floodplain,4,8101,1990
Karoo Interior_Floodplain,5,572929,1990
Karoo Interior_Floodplain,6,328,1990
Karoo Interior_Floodplain,7,3387,1990
Karoo Interior_Seep,1,187134,1990
Karoo Interior_Seep,2,717,1990
Karoo Interior_Seep,3,1016,1990
Karoo Interior_Seep,4,124,1990
Karoo Interior_Seep,5,3163,1990
Karoo Interior_Seep,6,355,1990
Karoo Interior_Seep,7,137,1990
Karoo Interior_Unchannelled valley-bottom,1,480398,1990
Karoo Interior_Unchannelled valley-bottom,2,22891,1990
Karoo Interior_Unchannelled valley-bottom,3,3035,1990
Karoo Interior_Unchannelled valley-bottom,5,16556,1990
Karoo Interior_Unchannelled valley-bottom,6,84,1990
Karoo Interior_Unchannelled valley-bottom,7,102,1990
Knersvlakte_Depression,1,3403,1990
Knersvlakte_Depression,3,71,1990
Knersvlakte_Depression,6,473,1990
Kwa-Zulu Natal Coastal Belt_Floodplain,1,82564,1990
Kwa-Zulu Natal Coastal Belt_Floodplain,2,14689,1990
Kwa-Zulu Natal Coastal Belt_Floodplain,3,1918,1990
Kwa-Zulu Natal Coastal Belt_Floodplain,4,41201,1990
Kwa-Zulu Natal Coastal Belt_Floodplain,5,23473,1990
Kwa-Zulu Natal Coastal Belt_Floodplain,6,79,1990
Kwa-Zulu Natal Coastal Belt_Floodplain,7,177,1990
Kwa-Zulu Natal Coastal Belt_Seep,1,28297,1990
Kwa-Zulu Natal Coastal Belt_Seep,2,3937,1990
Kwa-Zulu Natal Coastal Belt_Seep,3,2406,1990
Kwa-Zulu Natal Coastal Belt_Seep,4,17496,1990
Kwa-Zulu Natal Coastal Belt_Seep,5,64001,1990
Kwa-Zulu Natal Coastal Belt_Seep,6,5,1990
Kwa-Zulu Natal Coastal Belt_Seep,7,1213,1990
Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom,1,25632,1990
Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom,2,2867,1990
Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom,3,3181,1990
Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom,4,16796,1990
Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom,5,18524,1990
Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom,6,22,1990
Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom,7,815,1990
Lowveld_Depression,1,181766,1990
Lowveld_Depression,2,10172,1990
Lowveld_Depression,3,2495,1990
Lowveld_Depression,4,5790,1990
Lowveld_Depression,5,11836,1990
Lowveld_Depression,6,309,1990
Lowveld_Depression,7,923,1990
Lowveld_Depression,NA,73,1990
Lowveld_Floodplain,1,1218512,1990
Lowveld_Floodplain,2,78297,1990
Lowveld_Floodplain,3,29175,1990
Lowveld_Floodplain,4,32474,1990
Lowveld_Floodplain,5,176496,1990
Lowveld_Floodplain,6,625,1990
Lowveld_Floodplain,7,24483,1990
Lowveld_Floodplain,NA,22,1990
Lowveld_Seep,1,372929,1990
Lowveld_Seep,2,68755,1990
Lowveld_Seep,3,6295,1990
Lowveld_Seep,4,19937,1990
Lowveld_Seep,5,91530,1990
Lowveld_Seep,6,107,1990
Lowveld_Seep,7,36513,1990
Lowveld_Unchannelled valley-bottom,1,105172,1990
Lowveld_Unchannelled valley-bottom,2,18363,1990
Lowveld_Unchannelled valley-bottom,3,5459,1990
Lowveld_Unchannelled valley-bottom,4,4363,1990
Lowveld_Unchannelled valley-bottom,5,22847,1990
Lowveld_Unchannelled valley-bottom,6,27,1990
Lowveld_Unchannelled valley-bottom,7,12070,1990
Lowveld_Unchannelled valley-bottom,NA,2,1990
Maputaland Coastal Belt_Depression,1,501821,1990
Maputaland Coastal Belt_Depression,2,2594,1990
Maputaland Coastal Belt_Depression,3,1444,1990
Maputaland Coastal Belt_Depression,4,9201,1990
Maputaland Coastal Belt_Depression,5,3323,1990
Maputaland Coastal Belt_Depression,6,24,1990
Maputaland Coastal Belt_Depression,7,38537,1990
Maputaland Coastal Belt_Depression,NA,24,1990
Maputaland Coastal Belt_Floodplain,1,1044113,1990
Maputaland Coastal Belt_Floodplain,2,15640,1990
Maputaland Coastal Belt_Floodplain,3,421,1990
Maputaland Coastal Belt_Floodplain,4,21350,1990
Maputaland Coastal Belt_Floodplain,5,253639,1990
Maputaland Coastal Belt_Floodplain,6,65,1990
Maputaland Coastal Belt_Floodplain,7,65239,1990
Maputaland Coastal Belt_Floodplain,NA,131,1990
Maputaland Coastal Belt_Seep,1,51598,1990
Maputaland Coastal Belt_Seep,2,1892,1990
Maputaland Coastal Belt_Seep,3,301,1990
Maputaland Coastal Belt_Seep,4,7669,1990
Maputaland Coastal Belt_Seep,5,2298,1990
Maputaland Coastal Belt_Seep,7,29514,1990
Maputaland Coastal Belt_Unchannelled valley-bottom,1,97102,1990
Maputaland Coastal Belt_Unchannelled valley-bottom,2,4019,1990
Maputaland Coastal Belt_Unchannelled valley-bottom,3,353,1990
Maputaland Coastal Belt_Unchannelled valley-bottom,4,8137,1990
Maputaland Coastal Belt_Unchannelled valley-bottom,5,10276,1990
Maputaland Coastal Belt_Unchannelled valley-bottom,6,4,1990
Maputaland Coastal Belt_Unchannelled valley-bottom,7,25736,1990
Maputaland Coastal Belt_Unchannelled valley-bottom,NA,183,1990
Mesic Highveld Grassland_Depression,1,991969,1990
Mesic Highveld Grassland_Depression,2,83445,1990
Mesic Highveld Grassland_Depression,3,2876,1990
Mesic Highveld Grassland_Depression,4,5612,1990
Mesic Highveld Grassland_Depression,5,71304,1990
Mesic Highveld Grassland_Depression,6,16898,1990
Mesic Highveld Grassland_Depression,7,10520,1990
Mesic Highveld Grassland_Floodplain,1,8814723,1990
Mesic Highveld Grassland_Floodplain,2,1161913,1990
Mesic Highveld Grassland_Floodplain,3,323139,1990
Mesic Highveld Grassland_Floodplain,4,61795,1990
Mesic Highveld Grassland_Floodplain,5,1126265,1990
Mesic Highveld Grassland_Floodplain,6,37869,1990
Mesic Highveld Grassland_Floodplain,7,131254,1990
Mesic Highveld Grassland_Seep,1,2870641,1990
Mesic Highveld Grassland_Seep,2,557449,1990
Mesic Highveld Grassland_Seep,3,89799,1990
Mesic Highveld Grassland_Seep,4,34262,1990
Mesic Highveld Grassland_Seep,5,285505,1990
Mesic Highveld Grassland_Seep,6,19935,1990
Mesic Highveld Grassland_Seep,7,79530,1990
Mesic Highveld Grassland_Unchannelled valley-bottom,1,660132,1990
Mesic Highveld Grassland_Unchannelled valley-bottom,2,83743,1990
Mesic Highveld Grassland_Unchannelled valley-bottom,3,38736,1990
Mesic Highveld Grassland_Unchannelled valley-bottom,4,5313,1990
Mesic Highveld Grassland_Unchannelled valley-bottom,5,99908,1990
Mesic Highveld Grassland_Unchannelled valley-bottom,6,865,1990
Mesic Highveld Grassland_Unchannelled valley-bottom,7,8061,1990
Mopane_Depression,1,28434,1990
Mopane_Depression,2,468,1990
Mopane_Depression,3,242,1990
Mopane_Depression,4,37,1990
Mopane_Depression,5,22,1990
Mopane_Depression,6,1183,1990
Mopane_Floodplain,1,724531,1990
Mopane_Floodplain,2,4503,1990
Mopane_Floodplain,3,18897,1990
Mopane_Floodplain,4,4102,1990
Mopane_Floodplain,5,34752,1990
Mopane_Floodplain,6,121,1990
Mopane_Floodplain,7,49,1990
Mopane_Floodplain,NA,397,1990
Mopane_Seep,1,2745,1990
Mopane_Seep,4,5,1990
Mopane_Seep,5,32,1990
Mopane_Unchannelled valley-bottom,1,109980,1990
Mopane_Unchannelled valley-bottom,3,611,1990
Mopane_Unchannelled valley-bottom,NA,10826,1990
Namaqualand_Depression,1,274374,1990
Namaqualand_Depression,2,183,1990
Namaqualand_Depression,3,434,1990
Namaqualand_Depression,5,704,1990
Namaqualand_Depression,6,29000,1990
Northwest Fynbos_Depression,1,25316,1990
Northwest Fynbos_Depression,2,2433,1990
Northwest Fynbos_Depression,3,35,1990
Northwest Fynbos_Depression,5,483,1990
Northwest Fynbos_Depression,6,86,1990
Northwest Fynbos_Floodplain,1,243243,1990
Northwest Fynbos_Floodplain,2,23977,1990
Northwest Fynbos_Floodplain,3,39845,1990
Northwest Fynbos_Floodplain,4,326,1990
