type,hgm,A,B,C,D,E,F,NA.x,type24_m2,A18,B18,C18,D18,E18,F18,NA.y,type18_m2,type_area,X,eoo_km2,nat1990,nat2018,nat2022,prpnat1990,prpnat2018,prpnat2022,ard9022,nat40_9022,prplost9040_9022,ard1822,nat40_1822,prplost9040_1822,ard9018,nat40_9018,prplost9040_9018,rod9022,rod1822,rod9018,prp24_def,prp18_def,pes_decline1824,prp18_ab,prp18_abc,prp24_ab,prp24_abc,call18,call24,call68,A2b_18,A3_18,A3sa_18,B1ai_18,B1aii_18,D2_18,D3_18,D3veg_18,D3wq_18,D3geo_18,D3hyd_18,D3fin_18,A2b_24,A3_24,A3sa_24,B1ai_24,B1aii_24,D2_24,D3_24,D3veg_24,D3wq_24,D3geo_24,D3hyd_24,D3fin_24,RLE18,RLE24,ETS18,ETS24
Albany Thicket_Depression,Depression,4193584.6653533666,12872335.992779847,982494.0639046371,1257919.498661281,500966.50236576755,5105145.522926253,0,24912446.24599115,4468919.704552387,12865520.109717071,890936.5775065754,1327707.8565004393,516632.0811515547,4842729.9165631235,0,24912446.24599115,24915600,Albany Thicket_Depression,338259.869481621,18120800,17181600,17052400,0.7272873219990689,0.6895920628040264,0.6844065565348617,33387.5,16451425,0.092124795814754315,32300,15566600,0.14095404176416051,33542.857142857145,16443657.142857142,0.09255346657668857,0.18424959162950863,0.28190808352832103,0.18510693315337715,0.27552619506636544,0.2684228513003288,decline1824,0.6958144392206715,0.7315771486996712,0.6850359249999152,0.7244738049336344,0.3129371194719658,0.3204179256988129,0.39896639108070747,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,VU,VU,VU,LC,LC
Albany Thicket_Floodplain,Floodplain,530557.5231723206,11213835.517816411,6486027.528735846,612394.9789784811,10019313.783535728,0,0,28862129.332238786,530557.5231723206,14982770.54162471,2911836.6365346536,10300199.983008336,136764.64789876668,0,0,28862129.332238786,28880400,Albany Thicket_Floodplain,51423.9875250059,20408800,17678400,17530400,0.7066661126577194,0.6121244858104459,0.6069999030484342,89950,15911300,0.2203706244365176,37000,15828400,0.22443259770295168,97514.28571428571,15533085.714285715,0.2389025462405573,0.4407412488730352,0.44886519540590336,0.4778050924811146,0.3683618987403909,0.3616145056646632,decline1824,0.5374976976306719,0.6383854943353369,0.40691360314397634,0.6316381012596092,0.3267212426449342,0.3290692271209975,0.3537230641196624,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Albany Thicket_Seep,Seep,1693736.261024492,1085999.7711595895,1069067.2792504418,593262.7891909425,694707.1744322958,0,3625.4865202168003,5136773.275057762,1716443.8392580098,1066878.4184940124,1141766.3021455272,516977.54072791664,694707.1744322958,0,3625.4865202168003,5136773.275057762,5137600,Albany Thicket_Seep,76839.0004101349,4067600,3756000,3723200,0.7917315478044223,0.7310806602304578,0.7246963562753036,10762.5,3529475,0.13229545678041105,8200,3346000,0.17740190775887502,11128.57142857143,3511171.4285714286,0.1367953022491325,0.2645909135608221,0.35480381551775003,0.273590604498265,0.2507352173546642,0.23588440647043885,decline1824,0.5418425359100016,0.7641155935295612,0.5411443883812108,0.7492647826453357,0.25157612933192364,0.25825035265018104,0.32832969749188373,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Albany Thicket_Unchannelled valley-bottom,Unchannelled valley-bottom,992939.6583318249,516170.72352180025,234035.83886382496,321632.92518802406,2307819.37979287,0,1689.1306913857625,4372598.525698344,985037.1033299805,524073.2785236447,234035.83886382496,321632.92518802406,2293749.762200424,14069.617592445938,1689.1306913857625,4372598.525698344,4383200,Albany Thicket_Unchannelled valley-bottom,7860.9586800596,2186800,1953600,1946400,0.4989049096550465,0.4457017703960577,0.44405913487862747,7512.5,1811175,0.17176925187488568,1800,1863600,0.14779586610572526,8328.57142857143,1770371.4285714286,0.19042828398965217,0.34353850374977135,0.2955917322114505,0.38085656797930434,0.6013477545508129,0.6013477545508129,nodecline1824,0.3451289600415822,0.39865224544918715,0.3451289600415822,0.39865224544918715,0.4637392281550603,0.46486843356373175,0.476725090354782,LC,VU,EN,EN,LC,LC,VU,VU,LC,LC,VU,VU,LC,VU,EN,LC,LC,LC,VU,VU,LC,LC,VU,VU,EN,VU,EN,EN
Bushmanland_Depression,Depression,375758455.2516897,2654960728.130013,199728380.48275402,17190869.307072353,15295687.939136427,7624773.469127637,0,3270558894.579793,361789388.6836639,2838161917.393038,53074926.785825774,10857541.445099683,6126098.730622005,549021.5415443158,0,3270558894.5797935,3270560800,Bushmanland_Depression,149852.387264661,3221562400,3209965200,3207307200,0.9850183491467274,0.9814724129268595,0.9806597082677686,445475,3199288650,0.006913958891499355,664500,3176740200,0.013913186967913457,414185.71428571426,3200853114.285714,0.0064283360503232375,0.013827917782998708,0.027826373935826917,0.012856672100646475,0.01226436581888552,0.005360754012509116,decline1824,0.9784111551636915,0.9946392459874909,0.9266670563261924,0.9877356341811145,0.16113183785643082,0.1728054749533542,0.2953786644710496,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,VU,VU,VU,LC,LC
Bushmanland_Floodplain,Floodplain,93215452.01473969,1079654.82160367,269645.9992409982,0,0,0,106294541.23278736,94564752.83558436,93215452.01473969,1079654.82160367,269645.9992409982,0,0,0,106294541.23278736,94564752.83558436,201226800,Bushmanland_Floodplain,88930.0760392547,194210800,193090800,192248000,0.9651338688484834,0.9595680098277168,0.9553797009145899,61337.5,191143925,0.015791475036403744,210700,182555800,0.06001211055203933,40000,192210800,0.010298088468818418,0.03158295007280749,0.12002422110407866,0.020596176937636837,0,0,nodecline1824,0.9971485570346721,1,0.9971485570346721,1,0.04369644928943206,0.04361090600047224,0.04271270146639411,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Bushmanland_Seep,Seep,16185255.080565615,591110.3349482566,3391.9778680752497,0,0,0,0,16779757.393381946,16033525.663960664,742839.7515532081,3391.9778680752497,0,0,0,0,16779757.393381946,16784000,Bushmanland_Seep,51938.6381813652,16751600,16720400,16718800,0.998069590085796,0.996210676835081,0.996115347950429,1025,16700350,0.0030594092504596577,400,16700400,0.003056424460947014,1114.2857142857142,16695885.714285715,0.003325908314088532,0.006118818500919315,0.006112848921894028,0.006651816628177064,0,0,nodecline1824,0.9997978529850847,1,0.9997978529850847,1,0.045655312558264605,0.04530505817537822,0.041627387155071194,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Bushmanland_Unchannelled valley-bottom,Unchannelled valley-bottom,689718373.1808931,17349825.217567746,197811.54891692195,0,0,0,3633.1845127488486,707266009.9473777,689718373.1808931,17349825.217567746,197811.54891692195,0,0,0,3633.1845127488486,707266009.9473777,707236400,Bushmanland_Unchannelled valley-bottom,14806.8910266867,684238000,682400800,681989600,0.9674813117650619,0.9648835947923495,0.964302176754477,70262.5,680724875,0.00513436114334486,102800,677260800,0.010197036703603132,65614.28571428571,680957285.7142857,0.0047946975843409295,0.01026872228668972,0.020394073407206264,0.009589395168681859,0,0,nodecline1824,0.9997203152051213,1.0000000000000002,0.9997203152051213,1.0000000000000002,0.06580559486470294,0.06446509089543562,0.050389799218128695,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC
Central Bushveld_Depression,Depression,2699953.8193405326,37813467.894984365,7599240.40082102,1990976.4857754125,1180273.5705902993,1628279.1190187563,0,52912191.29053038,5600852.9700483745,34140359.421829306,7062633.673405439,3153333.323320108,975858.0323594272,1979153.8695677335,0,52912191.29053039,52908400,Central Bushveld_Depression,153118.504257882,43488400,41768800,41000800,0.8219564379191205,0.7894549825736557,0.7749393291046413,77737.5,39601525,0.08937728221778682,192000,32168800,0.26029010034859873,61414.28571428572,40417685.71428572,0.07060996232821358,0.17875456443557364,0.5205802006971975,0.14121992465642716,0.09070743543829439,0.11544305908079959,nodecline1824,0.7510785590728332,0.8845569409192003,0.7656727254381454,0.9092925645617057,0.22571510376189619,0.24504288639894634,0.4479846040879729,LC,LC,LC,LC,LC,LC,LC,VU,LC,LC,LC,VU,LC,LC,LC,LC,LC,LC,LC,EN,LC,LC,LC,EN,VU,EN,LC,LC
Central Bushveld_Floodplain,Floodplain,166719731.69120255,193846473.93888772,821143166.7823331,243668781.79530454,151451496.26642662,1844814.3496613682,34554387.06353051,1578674464.8238158,167230063.62075254,512790818.3032875,530542729.5728241,239987802.23254016,126127206.80606663,1995844.2883450035,34554387.06353051,1578674464.823816,1613161600,Central Bushveld_Floodplain,165517.085712354,1169816000,1077840800,1034052800,0.7251697536068302,0.6681542630322963,0.6410100513178593,4242600,957686000,0.18133621013903042,10947000,530490800,0.5465177429612862,3284828.5714285714,1005574571.4285715,0.1403993692780989,0.36267242027806085,1.0930354859225724,0.2807987385561978,0.25145468635656615,0.23317717587079226,decline1824,0.43075434301138965,0.7668228241292078,0.2283980729810122,0.7485453136434339,0.2909902322043917,0.31067920429583173,0.5174134112559523,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,EN,LC,EN,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,EN,LC,EN
