"","type","A18","B18","C18","D18","E18","F18","NA","type18_m2","prp18_ab","prp18_def"
"1","Albany Thicket_Depression",4468919.70455239,12865520.1097171,890936.577506575,1327707.85650044,516632.081151555,4842729.91656312,0,24912446.2459912,0.695814439220672,0.268422851300329
"2","Albany Thicket_Floodplain",530557.523172321,14982770.5416247,2911836.63653465,10300199.9830083,136764.647898767,0,0,28862129.3322388,0.537497697630672,0.361614505664663
"3","Albany Thicket_Seep",1716443.83925801,1066878.41849401,1141766.30214553,516977.540727917,694707.174432296,0,3625.4865202168,5136773.27505776,0.541842535910002,0.235884406470439
"4","Albany Thicket_Unchannelled valley-bottom",985037.103329981,524073.278523645,234035.838863825,321632.925188024,2293749.76220042,14069.6175924459,1689.13069138576,4372598.52569834,0.345128960041582,0.601347754550813
"5","Bushmanland_Depression",361789388.683664,2838161917.39304,53074926.7858258,10857541.4450997,6126098.730622,549021.541544316,0,3270558894.57979,0.978411155163691,0.00536075401250911
"6","Bushmanland_Floodplain",93215452.0147397,1079654.82160367,269645.999240998,0,0,0,106294541.232787,94564752.8355844,0.997148557034672,0
"7","Bushmanland_Seep",16033525.6639607,742839.751553208,3391.97786807525,0,0,0,0,16779757.3933819,0.999797852985085,0
"8","Bushmanland_Unchannelled valley-bottom",689718373.180893,17349825.2175677,197811.548916922,0,0,0,3633.18451274885,707266009.947378,0.999720315205121,0
"9","Central Bushveld_Depression",5600852.97004837,34140359.4218293,7062633.67340544,3153333.32332011,975858.032359427,1979153.86956773,0,52912191.2905304,0.751078559072833,0.1154430590808
"10","Central Bushveld_Floodplain",167230063.620753,512790818.303288,530542729.572824,239987802.23254,126127206.806067,1995844.288345,34554387.0635305,1578674464.82382,0.43075434301139,0.233177175870792
"11","Central Bushveld_Seep",43829378.4710955,20850902.9846858,54868925.9178428,40520193.4341064,34970156.7435627,2952027.78282391,21116.1098100793,197991585.334117,0.326681971593041,0.396190463489239
"12","Central Bushveld_Unchannelled valley-bottom",52649472.8369883,216755584.903295,82673354.8823853,44521434.1487258,48740418.8553614,464721.325799297,1088.34188859747,445804986.952555,0.604311449232296,0.210241197548248
"13","Drakensberg Grassland_Depression",6184612.0806343,4187916.63778691,126525.967792764,148323.969992303,38012.0251596828,185112.935415868,3402.22636539768,10870503.6167818,0.954190264231011,0.0341703515920287
"14","Drakensberg Grassland_Floodplain",25915765.4761041,20582786.291334,86051517.9409571,95509592.6518034,11651621.1037861,0,1395.61237315493,239711283.463985,0.193977317611018,0.447042843403281
"15","Drakensberg Grassland_Seep",58912115.1005169,13584849.152745,24926337.3282268,25691961.0306727,11022457.3517819,2247614.66046714,258422.708224855,136385334.624411,0.531559822417199,0.285676118698676
"16","Drakensberg Grassland_Unchannelled valley-bottom",9567647.49469098,74857.9261182094,1243848.1141775,435367.0534116,6810872.14290565,5446.71762263668,93620.3732388695,18138039.4489266,0.531617843701395,0.399805388799562
"17","Dry Highveld Grassland_Depression",431674485.580426,455162040.250575,171081742.790104,67792174.5661855,25852157.4960198,40895910.9509815,0,1192458511.63429,0.743704302647453,0.112825932055947
"18","Dry Highveld Grassland_Floodplain",96233257.8382571,677808643.752521,562305667.750851,108918432.050566,38832262.2008127,1276367.83234612,647371.421045493,1485374631.42535,0.521108873959974,0.100329613102871
"19","Dry Highveld Grassland_Seep",30811330.2252971,49204350.5786674,120709326.395523,14875857.9872661,25858955.434909,1560682.00258318,21366.211754031,243020502.624246,0.329254856853306,0.174040852389129
"20","Dry Highveld Grassland_Unchannelled valley-bottom",49992616.2111125,343045888.026913,355339484.35868,55188347.872622,32326213.3947227,136235.405518214,12891.0221401922,836028785.269568,0.470125564051355,0.104841840636625
"21","East Coast Renosterveld_Depression",15690903.8352566,843349.858091118,1719674.68732288,799590.498938564,166774.719701489,267210.175450384,0,19487503.774761,0.848454162444439,0.0633008418291154
"22","East Coast Renosterveld_Floodplain",4239259.66298275,12343741.8911729,145751924.800237,105596030.624882,81716290.7351428,260804.511785474,742312.337412108,349908052.226203,0.047392454813916,0.536064045049616
"23","East Coast Renosterveld_Seep",5619664.79245106,15528728.5298178,21567052.8544144,20846636.9876152,16276462.3864154,2263885.4853507,231297.490256403,82102431.0360645,0.257585470434842,0.479729824834055
"24","East Coast Renosterveld_Unchannelled valley-bottom",9205.27651395975,7320161.15816575,153541.366767369,3898773.18616377,101980.079848718,0,0,11483661.0674596,0.638243012539652,0.348386567882009
"25","Eastern Fynbos-Renosterveld_Depression",85848.5192039686,2711007.2680378,459732.757551508,179100.109803212,543731.746959425,293505.862522399,0,4272926.26407831,0.654552785231612,0.237855197228465
"26","Eastern Kalahari Bushveld_Depression",99048831.5592667,853351438.738247,50565839.4752145,16643477.5640024,15191240.429972,5659223.88850706,0,1040460051.65521,0.915364572414283,0.0360359264373817
