"","type","A","B","C","D","E","F","NA","type24_m2","prp24_ab","prp24_def"
"1","Albany Thicket_Depression",4193584.66535337,12872335.9927798,982494.063904637,1257919.49866128,500966.502365768,5105145.52292625,0,24912446.2459912,0.685035924999915,0.275526195066365
"2","Albany Thicket_Floodplain",530557.523172321,11213835.5178164,6486027.52873585,612394.978978481,10019313.7835357,0,0,28862129.3322388,0.406913603143976,0.368361898740391
"3","Albany Thicket_Seep",1693736.26102449,1085999.77115959,1069067.27925044,593262.789190943,694707.174432296,0,3625.4865202168,5136773.27505776,0.541144388381211,0.250735217354664
"4","Albany Thicket_Unchannelled valley-bottom",992939.658331825,516170.7235218,234035.838863825,321632.925188024,2307819.37979287,0,1689.13069138576,4372598.52569834,0.345128960041582,0.601347754550813
"5","Bushmanland_Depression",375758455.25169,2654960728.13001,199728380.482754,17190869.3070724,15295687.9391364,7624773.46912764,0,3270558894.57979,0.926667056326192,0.0122643658188855
"6","Bushmanland_Floodplain",93215452.0147397,1079654.82160367,269645.999240998,0,0,0,106294541.232787,94564752.8355844,0.997148557034672,0
"7","Bushmanland_Seep",16185255.0805656,591110.334948257,3391.97786807525,0,0,0,0,16779757.3933819,0.999797852985085,0
"8","Bushmanland_Unchannelled valley-bottom",689718373.180893,17349825.2175677,197811.548916922,0,0,0,3633.18451274885,707266009.947378,0.999720315205121,0
"9","Central Bushveld_Depression",2699953.81934053,37813467.8949844,7599240.40082102,1990976.48577541,1180273.5705903,1628279.11901876,0,52912191.2905304,0.765672725438145,0.0907074354382944
"10","Central Bushveld_Floodplain",166719731.691203,193846473.938888,821143166.782333,243668781.795305,151451496.266427,1844814.34966137,34554387.0635305,1578674464.82382,0.228398072981012,0.251454686356566
"11","Central Bushveld_Seep",42604777.9591103,20801767.7605772,51941003.9308895,43120397.83465,36378257.498186,3145380.35070418,21116.1098100793,197991585.334117,0.320248689421254,0.417411858913477
"12","Central Bushveld_Unchannelled valley-bottom",52319340.948999,212400989.475729,85701218.9330535,48369581.511352,46460732.3502225,553123.733199281,1088.34188859747,445804986.952555,0.593802981510615,0.213957762668377
"13","Drakensberg Grassland_Depression",6136477.0281777,4219942.12155793,120845.922166233,271678.427628452,17204.2570695083,104355.860182009,3402.22636539768,10870503.6167818,0.952708311852952,0.0361748230572215
