"","type","zone","extent","RLE","EPL","RLE_EPL","realm"
"1","Albany Thicket_Depression","Depression",24.7944917718381,"VU","PP","VU_PP","wet"
"2","Albany Thicket_Floodplain","Floodplain",27.2303114135186,"EN","PP","EN_PP","wet"
"3","Albany Thicket_Seep","Seep",0.978602537420771,"EN","PP","EN_PP","wet"
"4","Bushmanland_Depression","Depression",3254.34276028668,"VU","NP","VU_NP","wet"
"5","Bushmanland_Floodplain","Floodplain",94.564752835535,"LC","PP","LC_PP","wet"
"6","Bushmanland_Seep","Seep",16.5657763176536,"LC","PP","LC_PP","wet"
"7","Bushmanland_Unchannelled valley-bottom","Unchannelled valley-bottom",707.266009947473,"LC","MP","LC_MP","wet"
"8","Central Bushveld_Depression","Depression",48.2162830919751,"EN","PP","EN_PP","wet"
"9","Central Bushveld_Floodplain","Floodplain",1530.2851629422,"EN","PP","EN_PP","wet"
"10","Central Bushveld_Seep","Seep",178.087890940403,"VU","PP","VU_PP","wet"
"11","Central Bushveld_Unchannelled valley-bottom","Unchannelled valley-bottom",392.21170498819,"LC","PP","LC_PP","wet"
"12","Drakensberg Grassland_Depression","Depression",10.8685147900792,"LC","PP","LC_PP","wet"
"13","Drakensberg Grassland_Floodplain","Floodplain",4.48706216093847,"LC","PP","LC_PP","wet"
"14","Drakensberg Grassland_Seep","Seep",9.94624561811551,"LC","PP","LC_PP","wet"
"15","Drakensberg Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom",0.191560597961518,"VU","NP","VU_NP","wet"
"16","Dry Highveld Grassland_Depression","Depression",1191.84970034818,"VU","PP","VU_PP","wet"
"17","Dry Highveld Grassland_Floodplain","Floodplain",1378.21727532984,"VU","PP","VU_PP","wet"
"18","Dry Highveld Grassland_Seep","Seep",214.493943916554,"LC","PP","LC_PP","wet"
"19","Dry Highveld Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom",820.739973206783,"VU","PP","VU_PP","wet"
"20","East Coast Renosterveld_Depression","Depression",19.156870584363,"EN","MP","EN_MP","wet"
"21","East Coast Renosterveld_Floodplain","Floodplain",349.9080522262,"VU","NP","VU_NP","wet"
"22","East Coast Renosterveld_Seep","Seep",82.1024310360608,"VU","PP","VU_PP","wet"
"23","East Coast Renosterveld_Unchannelled valley-bottom","Unchannelled valley-bottom",11.4836610674609,"VU","MP","VU_MP","wet"
"24","Eastern Fynbos-Renosterveld_Depression","Depression",4.25770800316896,"EN","PP","EN_PP","wet"
"25","Eastern Kalahari Bushveld_Depression","Depression",1039.80748125623,"VU","NP","VU_NP","wet"
"26","Eastern Kalahari Bushveld_Seep","Seep",283.804164338161,"LC","NP","LC_NP","wet"
"27","Eastern Kalahari Bushveld_Unchannelled valley-bottom","Unchannelled valley-bottom",379.455261586769,"LC","NP","LC_NP","wet"
"28","Kalahari Duneveld_Depression","Depression",337.808846029568,"CR","PP","CR_PP","wet"
"29","Karoo Interior_Depression","Depression",668.989560557367,"LC","NP","LC_NP","wet"
"30","Karoo Interior_Floodplain","Floodplain",1199.32774815398,"LC","NP","LC_NP","wet"
"31","Karoo Interior_Seep","Seep",77.0463381127657,"LC","PP","LC_PP","wet"
"32","Karoo Interior_Unchannelled valley-bottom","Unchannelled valley-bottom",209.200863799871,"LC","PP","LC_PP","wet"
"33","Knersvlakte_Depression","Depression",1.57733393420197,"EN","PP","EN_PP","wet"
"34","Kwa-Zulu Natal Coastal Belt_Floodplain","Floodplain",65.6532047614144,"EN","NP","EN_NP","wet"
"35","Kwa-Zulu Natal Coastal Belt_Seep","Seep",46.9642019232599,"EN","NP","EN_NP","wet"
"36","Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom","Unchannelled valley-bottom",27.1842702084037,"EN","NP","EN_NP","wet"
"37","Lowveld_Depression","Depression",85.3309894146091,"EN","MP","EN_MP","wet"
"38","Lowveld_Floodplain","Floodplain",624.016222848178,"VU","WP","VU_WP","wet"
"39","Lowveld_Seep","Seep",238.422195596193,"LC","MP","LC_MP","wet"
"40","Lowveld_Unchannelled valley-bottom","Unchannelled valley-bottom",67.3043212402135,"LC","MP","LC_MP","wet"
"41","Maputaland Coastal Belt_Depression","Depression",222.700375202454,"CR","MP","CR_MP","wet"
"42","Maputaland Coastal Belt_Floodplain","Floodplain",560.19421391007,"EN","MP","EN_MP","wet"
"43","Maputaland Coastal Belt_Seep","Seep",37.3272866852706,"CR","MP","CR_MP","wet"
