"","type","zone","extent","RLE","EPL","RLE_EPL","realm"
"1","Albany Thicket_Depression","Depression",24.9124462459871,"EN","PP","EN_PP","wet"
"2","Albany Thicket_Floodplain","Floodplain",28.8621293322303,"LC","PP","LC_PP","wet"
"3","Albany Thicket_Seep","Seep",5.14039876157645,"LC","PP","LC_PP","wet"
"4","Albany Thicket_Unchannelled valley-bottom","Unchannelled valley-bottom",4.37428765638692,"EN","PP","EN_PP","wet"
"5","Bushmanland_Depression","Depression",3270.55889457996,"CR","NP","CR_NP","wet"
"6","Bushmanland_Floodplain","Floodplain",200.859294068431,"VU","PP","VU_PP","wet"
"7","Bushmanland_Seep","Seep",16.779757434028,"LC","PP","LC_PP","wet"
"8","Bushmanland_Unchannelled valley-bottom","Unchannelled valley-bottom",707.269643131992,"LC","MP","LC_MP","wet"
"9","Central Bushveld_Depression","Depression",52.9121912905045,"LC","PP","LC_PP","wet"
"10","Central Bushveld_Floodplain","Floodplain",1564.82513007308,"LC","PP","LC_PP","wet"
"11","Central Bushveld_Seep","Seep",178.107795704056,"LC","PP","LC_PP","wet"
"12","Central Bushveld_Unchannelled valley-bottom","Unchannelled valley-bottom",392.211704988155,"LC","PP","LC_PP","wet"
"13","Drakensberg Grassland_Depression","Depression",10.8739058431627,"LC","PP","LC_PP","wet"
"14","Drakensberg Grassland_Floodplain","Floodplain",239.712679065385,"EN","PP","EN_PP","wet"
"15","Drakensberg Grassland_Seep","Seep",136.643754372165,"LC","PP","LC_PP","wet"
"16","Drakensberg Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom",18.2316598221762,"VU","NP","VU_NP","wet"
"17","Dry Highveld Grassland_Depression","Depression",1192.45851163427,"LC","PP","LC_PP","wet"
"18","Dry Highveld Grassland_Floodplain","Floodplain",1460.3201309115,"LC","PP","LC_PP","wet"
"19","Dry Highveld Grassland_Seep","Seep",233.587403477623,"LC","PP","LC_PP","wet"
"20","Dry Highveld Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom",824.703976132019,"LC","PP","LC_PP","wet"
"21","East Coast Renosterveld_Depression","Depression",19.4875037747871,"CR","MP","CR_MP","wet"
"22","East Coast Renosterveld_Floodplain","Floodplain",350.650364563487,"CR","NP","CR_NP","wet"
"23","East Coast Renosterveld_Seep","Seep",82.333728526338,"EN","PP","EN_PP","wet"
"24","East Coast Renosterveld_Unchannelled valley-bottom","Unchannelled valley-bottom",11.483661067461,"LC","MP","LC_MP","wet"
"25","Eastern Fynbos-Renosterveld_Depression","Depression",4.27292626407296,"VU","PP","VU_PP","wet"
"26","Eastern Kalahari Bushveld_Depression","Depression",1040.46005165511,"LC","NP","LC_NP","wet"
"27","Eastern Kalahari Bushveld_Seep","Seep",285.712710972766,"LC","NP","LC_NP","wet"
"28","Eastern Kalahari Bushveld_Unchannelled valley-bottom","Unchannelled valley-bottom",383.86905391454,"LC","NP","LC_NP","wet"
"29","Kalahari Duneveld_Depression","Depression",342.667807791533,"LC","PP","LC_PP","wet"
"30","Karoo Interior_Depression","Depression",669.213910960105,"VU","NP","VU_NP","wet"
"31","Karoo Interior_Floodplain","Floodplain",1293.47940723002,"LC","NP","LC_NP","wet"
"32","Karoo Interior_Seep","Seep",86.4106073086671,"LC","PP","LC_PP","wet"
"33","Karoo Interior_Unchannelled valley-bottom","Unchannelled valley-bottom",212.958679415689,"LC","PP","LC_PP","wet"
"34","Knersvlakte_Depression","Depression",1.58327921973691,"LC","PP","LC_PP","wet"
"35","Kwa-Zulu Natal Coastal Belt_Floodplain","Floodplain",66.7894760164104,"CR","NP","CR_NP","wet"
"36","Kwa-Zulu Natal Coastal Belt_Seep","Seep",47.1678146756142,"CR","NP","CR_NP","wet"
"37","Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom","Unchannelled valley-bottom",27.2130947919922,"CR","NP","CR_NP","wet"
"38","Lowveld_Depression","Depression",90.3381949543694,"VU","MP","VU_MP","wet"
"39","Lowveld_Floodplain","Floodplain",625.670994120748,"LC","WP","LC_WP","wet"
"40","Lowveld_Seep","Seep",238.676095969823,"EN","MP","EN_MP","wet"
"41","Lowveld_Unchannelled valley-bottom","Unchannelled valley-bottom",67.3526941178084,"LC","MP","LC_MP","wet"
"42","Maputaland Coastal Belt_Depression","Depression",223.034187451474,"EN","MP","EN_MP","wet"
"43","Maputaland Coastal Belt_Floodplain","Floodplain",560.217580157846,"LC","MP","LC_MP","wet"
"44","Maputaland Coastal Belt_Seep","Seep",37.4187776809003,"EN","MP","EN_MP","wet"
"45","Maputaland Coastal Belt_Unchannelled valley-bottom","Unchannelled valley-bottom",58.2950624805455,"LC","PP","LC_PP","wet"
"46","Mesic Highveld Grassland_Depression","Depression",473.255912756839,"EN","PP","EN_PP","wet"
"47","Mesic Highveld Grassland_Floodplain","Floodplain",4708.99422517574,"LC","PP","LC_PP","wet"
"48","Mesic Highveld Grassland_Seep","Seep",1585.00722719972,"LC","PP","LC_PP","wet"
"49","Mesic Highveld Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom",360.765855788996,"EN","PP","EN_PP","wet"
"50","Mopane_Depression","Depression",12.5741533928722,"VU","MP","VU_MP","wet"
"51","Mopane_Floodplain","Floodplain",314.933915089615,"LC","WP","LC_WP","wet"
"52","Mopane_Seep","Seep",1.11590783282315,"LC","WP","LC_WP","wet"
"53","Mopane_Unchannelled valley-bottom","Unchannelled valley-bottom",48.5592494661041,"LC","MP","LC_MP","wet"
"54","Namaqualand_Depression","Depression",122.947907774171,"CR","PP","CR_PP","wet"
"55","Northwest Fynbos_Depression","Depression",11.3489306361028,"EN","PP","EN_PP","wet"
"56","Northwest Fynbos_Floodplain","Floodplain",156.268318859636,"CR","PP","CR_PP","wet"
"57","Northwest Fynbos_Seep","Seep",36.4491565523071,"LC","MP","LC_MP","wet"
"58","Northwest Fynbos_Unchannelled valley-bottom","Unchannelled valley-bottom",6.87991295135366,"CR","PP","CR_PP","wet"
"59","Pondoland Coastal Belt_Floodplain","Floodplain",3.77996117110434,"LC","NP","LC_NP","wet"
"60","Pondoland Coastal Belt_Seep","Seep",15.6255255771008,"LC","NP","LC_NP","wet"
"61","Pondoland Coastal Belt_Unchannelled valley-bottom","Unchannelled valley-bottom",4.84295673965124,"LC","PP","LC_PP","wet"
"62","Southern Fynbos_Depression","Depression",15.0098190395339,"CR","MP","CR_MP","wet"
