"","type","zone","RLE18","RLE24","RLEsa18","RLEsa24","type24_m2","extent","EPL18","EPL24","RLE_EPL24"
"1","Albany Thicket_Depression","Depression","LC","LC","LC","LC",24912446.24599,24.91244624599,"PP","PP","LC_PP"
"2","Albany Thicket_Floodplain","Floodplain","VU","LC","LC","LC",28862129.3322319,28.8621293322319,"PP","PP","LC_PP"
"3","Albany Thicket_Seep","Seep","LC","LC","LC","LC",5140398.76157857,5.14039876157857,"NP","PP","LC_PP"
"4","Albany Thicket_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","LC","EN","EN",4372598.52570077,4.37259852570077,"PP","PP","LC_PP"
"5","Bushmanland_Depression","Depression","VU","LC","LC","LC",3270558894.57989,3270.55889457989,"NP","NP","LC_NP"
"6","Bushmanland_Floodplain","Floodplain","VU","VU","VU","VU",200859294.068361,200.859294068361,"PP","PP","VU_PP"
"7","Bushmanland_Seep","Seep","LC","LC","LC","LC",16565776.3176536,16.5657763176536,"NP","PP","LC_PP"
"8","Bushmanland_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC","LC","LC",707269643.131986,707.269643131986,"NP","MP","LC_MP"
"9","Central Bushveld_Depression","Depression","VU","VU","LC","LC",52912191.2905218,52.9121912905218,"PP","PP","VU_PP"
"10","Central Bushveld_Floodplain","Floodplain","VU","LC","LC","LC",1530287441.37901,1530.28744137901,"PP","PP","LC_PP"
"11","Central Bushveld_Seep","Seep","LC","LC","EN","LC",178092426.277918,178.092426277918,"PP","PP","LC_PP"
"12","Central Bushveld_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC","LC","LC",392211704.98819,392.21170498819,"PP","PP","LC_PP"
"13","Drakensberg Grassland_Depression","Depression","VU","LC","LC","LC",10870503.6167964,10.8705036167964,"PP","PP","LC_PP"
"14","Drakensberg Grassland_Floodplain","Floodplain","VU","LC","CR","EN",239712222.273589,239.712222273589,"PP","PP","LC_PP"
"15","Drakensberg Grassland_Seep","Seep","LC","LC","LC","LC",136584651.154657,136.584651154657,"PP","PP","LC_PP"
"16","Drakensberg Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC","VU","VU",18231659.8221773,18.2316598221773,"NP","NP","LC_NP"
"17","Dry Highveld Grassland_Depression","Depression","VU","LC","LC","LC",1192458511.6343,1192.4585116343,"PP","PP","LC_PP"
"18","Dry Highveld Grassland_Floodplain","Floodplain","VU","VU","LC","LC",1459672759.49036,1459.67275949036,"PP","PP","VU_PP"
"19","Dry Highveld Grassland_Seep","Seep","LC","LC","EN","LC",233566074.774019,233.566074774019,"PP","PP","LC_PP"
"20","Dry Highveld Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","VU","LC","LC",824703208.387594,824.703208387594,"PP","PP","VU_PP"
"21","East Coast Renosterveld_Depression","Depression","EN","EN","LC","LC",19487503.7747542,19.4875037747542,"MP","MP","EN_MP"
"22","East Coast Renosterveld_Floodplain","Floodplain","EN","VU","CR","CR",350645998.141474,350.645998141474,"NP","NP","VU_NP"
"23","East Coast Renosterveld_Seep","Seep","VU","VU","EN","EN",82333377.5343302,82.3333775343302,"PP","PP","VU_PP"
"24","East Coast Renosterveld_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","VU","LC","LC",11483661.0674609,11.4836610674609,"MP","MP","VU_MP"
