"","type","zone","ETS18","ETS24","extent","EPL18","EPL24","ETS_EPL24"
"1","Albany Thicket_Depression","Depression","EN","EN",24.9124462459871,"PP","PP","EN_PP"
"2","Albany Thicket_Floodplain","Floodplain","LC","LC",28.8621293322303,"PP","PP","LC_PP"
"3","Albany Thicket_Seep","Seep","LC","LC",5.14039876157645,"NP","PP","LC_PP"
"4","Albany Thicket_Unchannelled valley-bottom","Unchannelled valley-bottom","EN","EN",4.37428765638692,"PP","PP","EN_PP"
"5","Bushmanland_Depression","Depression","CR","CR",3270.55889457996,"NP","NP","CR_NP"
"6","Bushmanland_Floodplain","Floodplain","VU","VU",200.859294068431,"PP","PP","VU_PP"
"7","Bushmanland_Seep","Seep","LC","LC",16.779757434028,"NP","PP","LC_PP"
"8","Bushmanland_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC",707.269643131992,"NP","MP","LC_MP"
"9","Central Bushveld_Depression","Depression","LC","LC",52.9121912905045,"PP","PP","LC_PP"
"10","Central Bushveld_Floodplain","Floodplain","LC","LC",1564.82513007308,"PP","PP","LC_PP"
"11","Central Bushveld_Seep","Seep","EN","LC",178.107795704056,"PP","PP","LC_PP"
"12","Central Bushveld_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC",392.211704988155,"PP","PP","LC_PP"
"13","Drakensberg Grassland_Depression","Depression","LC","LC",10.8739058431627,"PP","PP","LC_PP"
"14","Drakensberg Grassland_Floodplain","Floodplain","CR","EN",239.712679065385,"PP","PP","EN_PP"
"15","Drakensberg Grassland_Seep","Seep","LC","LC",136.643754372165,"PP","PP","LC_PP"
"16","Drakensberg Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","VU",18.2316598221762,"NP","NP","VU_NP"
"17","Dry Highveld Grassland_Depression","Depression","LC","LC",1192.45851163427,"PP","PP","LC_PP"
"18","Dry Highveld Grassland_Floodplain","Floodplain","LC","LC",1460.3201309115,"PP","PP","LC_PP"
"19","Dry Highveld Grassland_Seep","Seep","EN","LC",233.587403477623,"PP","PP","LC_PP"
"20","Dry Highveld Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC",824.703976132019,"PP","PP","LC_PP"
"21","East Coast Renosterveld_Depression","Depression","CR","CR",19.4875037747871,"MP","MP","CR_MP"
"22","East Coast Renosterveld_Floodplain","Floodplain","CR","CR",350.650364563487,"NP","NP","CR_NP"
"23","East Coast Renosterveld_Seep","Seep","EN","EN",82.333728526338,"PP","PP","EN_PP"
"24","East Coast Renosterveld_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC",11.483661067461,"MP","MP","LC_MP"
"25","Eastern Fynbos-Renosterveld_Depression","Depression","VU","VU",4.27292626407296,"PP","PP","VU_PP"
"26","Eastern Kalahari Bushveld_Depression","Depression","LC","LC",1040.46005165511,"NP","NP","LC_NP"
"27","Eastern Kalahari Bushveld_Seep","Seep","LC","LC",285.712710972766,"NP","NP","LC_NP"
"28","Eastern Kalahari Bushveld_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC",383.86905391454,"NP","NP","LC_NP"
"29","Kalahari Duneveld_Depression","Depression","LC","LC",342.667807791533,"PP","PP","LC_PP"
"30","Karoo Interior_Depression","Depression","VU","VU",669.213910960105,"NP","NP","VU_NP"
"31","Karoo Interior_Floodplain","Floodplain","LC","LC",1293.47940723002,"NP","NP","LC_NP"
"32","Karoo Interior_Seep","Seep","LC","LC",86.4106073086671,"PP","PP","LC_PP"
"33","Karoo Interior_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC",212.958679415689,"PP","PP","LC_PP"
"34","Knersvlakte_Depression","Depression","LC","LC",1.58327921973691,"PP","PP","LC_PP"
"35","Kwa-Zulu Natal Coastal Belt_Floodplain","Floodplain","CR","CR",66.7894760164104,"NP","NP","CR_NP"
"36","Kwa-Zulu Natal Coastal Belt_Seep","Seep","CR","CR",47.1678146756142,"NP","NP","CR_NP"
"37","Kwa-Zulu Natal Coastal Belt_Unchannelled valley-bottom","Unchannelled valley-bottom","CR","CR",27.2130947919922,"NP","NP","CR_NP"
"38","Lowveld_Depression","Depression","VU","VU",90.3381949543694,"MP","MP","VU_MP"
"39","Lowveld_Floodplain","Floodplain","LC","LC",625.670994120748,"WP","WP","LC_WP"
"40","Lowveld_Seep","Seep","EN","EN",238.676095969823,"MP","MP","EN_MP"
"41","Lowveld_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","LC",67.3526941178084,"MP","MP","LC_MP"
"42","Maputaland Coastal Belt_Depression","Depression","EN","EN",223.034187451474,"MP","MP","EN_MP"
"43","Maputaland Coastal Belt_Floodplain","Floodplain","LC","LC",560.217580157846,"MP","MP","LC_MP"
"44","Maputaland Coastal Belt_Seep","Seep","EN","EN",37.4187776809003,"MP","MP","EN_MP"
"45","Maputaland Coastal Belt_Unchannelled valley-bottom","Unchannelled valley-bottom","VU","LC",58.2950624805455,"PP","PP","LC_PP"
"46","Mesic Highveld Grassland_Depression","Depression","EN","EN",473.255912756839,"PP","PP","EN_PP"
"47","Mesic Highveld Grassland_Floodplain","Floodplain","EN","LC",4708.99422517574,"PP","PP","LC_PP"
"48","Mesic Highveld Grassland_Seep","Seep","LC","LC",1585.00722719972,"PP","PP","LC_PP"
"49","Mesic Highveld Grassland_Unchannelled valley-bottom","Unchannelled valley-bottom","EN","EN",360.765855788996,"PP","PP","EN_PP"
"50","Mopane_Depression","Depression","VU","VU",12.5741533928722,"MP","MP","VU_MP"
"51","Mopane_Floodplain","Floodplain","LC","LC",314.933915089615,"WP","WP","LC_WP"
"52","Mopane_Seep","Seep","LC","LC",1.11590783282315,"WP","WP","LC_WP"
"53","Mopane_Unchannelled valley-bottom","Unchannelled valley-bottom","LC","LC",48.5592494661041,"MP","MP","LC_MP"
